State,Notes,Program Name,Plan Name,Geographic Region,Medicaid-Only Enrollment ,Dual Enrollment,Total Enrollment,Year,Location,Parent Organization
Wisconsin,,BadgerCare Plus (Comprehensive MCO),Physicians Plus Health Plan,County: Dane,9743,8,9751,2017,"Wisconsin
(44.639954, -89.732969)",Physicians Plus Health Plan
Pennsylvania,,Adult Community Autism Program (Other Prepaid Health Plan (PHP) (limited benefits)),Adult Community Autism Program,"Dauphin, Cumberland, Lancaster and Chester counties",92,57,149,2017,"Pennsylvania
(40.896694, -77.838886)",Keystone Autism Services
Michigan,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Genesys PACE,Genessee,2,48,50,2017,"Michigan
(44.874798, -85.730977)",Ascension Health
Colorado,,Colorado Medicaid Community Behavioral Health Services Program (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Access Behavioral Care - Denver,Denver County,194277,13159,207436,2017,"Colorado
(38.998552, -105.547832)",Access Behavioral Care - Denver
California,,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/Placer,Placer County,30274,833,31107,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Illinois,,Managed Long Term Services and Supports (MLTSS only (PIHP and/or PAHP)),Blue Cross Blue Shield of Illinois,"Lake, Kane, DuPage, Cook, Will and Kankakee counties",0,9610,9610,2017,"Illinois
(40.124144, -89.148632)",Health Care Service Corporation
Indiana,,Hoosier Healthwise (Comprehensive MCO),MDWise,Statewide,234600,2,234602,2017,"Indiana
(39.919991, -86.2818)",McLaren Health Care
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),PacificSource Community Solutions - Central Oregon,"Crook, Deschutes, Jefferson, and Klamath (97731, 97733, 97737, 97739 only)",46763,2238,49001,2017,"Oregon
(43.940449, -120.605279)",PacificSource Community Solutions - Central Oregon
Georgia,,Planning for Healthy Babies (Other Prepaid Health Plan (PHP) (limited benefits)),Amerigroup Community Care,Statewide,2376,0,2376,2017,"Georgia
(32.638481, -83.426574)",Anthem
California,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),InnovAge PACE/Riverside,Riverside County,36,77,113,2017,"California
(37.211164, -119.662127)",InnovAge
California,,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/Butte,Butte County,29806,1061,30867,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Indiana,,Hoosier Healthwise (Comprehensive MCO),"Caresource Indiana, Inc",Statewide,29774,1,29775,2017,"Indiana
(39.919991, -86.2818)",Caresource Management Group
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),Senior Network Health,"Herkimer, Oneida counties",23,501,524,2017,"New York
(42.921241, -75.59655)",Senior Network Health
California,,County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS),Central California Alliance for Health/Monterey,Monterey County,145434,12333,157767,2017,"California
(37.211164, -119.662127)",Central California Alliance for Health
Oregon,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Providence ElderPlace,"Multnomah, Washington, Clatsop and Tillamook Counties",62,1190,1252,2017,"Oregon
(43.940449, -120.605279)",Providence
Michigan,Michigan is not able to provide dual-eligible enrollment for the Specialty Prepaid Inpatient Health plan.,Specialty Prepaid Inpatient Health Plan (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Lakeshore Regional Entity,"Allegan, Kent, Lake, Mason, Muskegon, Oceana, Ottawa",252262,0,252262,2017,"Michigan
(44.874798, -85.730977)",Lakeshore Regioanl Entity
Virginia,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Centra Pace Farmville,"23002, 23004, 23027, 23040, 23083, 23123, 23824, 23894, 23901, 23909, 23921, 23922, 23923, 23930, 23934, 23936, 23937, 23939, 23941, 23942, 23943, 23947, 23952, 23954, 23955, 23958, 23959, 23960, 23963, 23966, 23974, 23976, 24599",3,79,82,2017,"Virginia
(37.510861, -78.666382)",Centra Health
Florida,,Long-term Care Program (MLTSS only (PIHP and/or PAHP)),"Molina Healthcare of Florida, Inc.","Regions 5, 6, and 11",491,5751,6242,2017,"Florida
(28.260731, -82.420978)",Molina
Alabama,,Maternity Program (Other Prepaid Health Plan (PHP) (limited benefits)),Maternity Program,"Statewide minus the following counties: Autuaga, Butler, Bullock, Crenshaw, Elmore, Lowdnes, Montgomery, Pike, Baldwin, Clarke, Conecuh, Covington, Escambia, Monroe and Washington",14848,0,14848,2017,"Alabama
(32.756889, -86.844516)",Alabama Medicaid Agency
California,,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/Mono,Mono County,1707,32,1739,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Wisconsin,,BadgerCare Plus (Comprehensive MCO),MHS of Wisconsin,"Counties: Ashland, Bayfield, Brown, Calumet, Chippewa, Clark, Crawford, Dodge, Door, Douglas, Eau Claire, Fond du Lac, Forest, Green Lake, Iron, Jefferson, Kenosha, Kewaunee, Langlade, Lincoln, Manitowoc, Marathon, Marinette, Marquette, Menominee, Milwaukee, Oconto, Oneida, Outagamie, Ozaukee, Polk, Portage, Price, Racine, Rock, Rusk, Sawyer,  Shawano, Sheboygan, Taylor, Vilas, Walworth, Washburn, Waukesha, Waupaca, Waushara, Winnebago, Wood",30888,33,30921,2017,"Wisconsin
(44.639954, -89.732969)",MHS of Wisconsin
Rhode Island,,RIte Smiles (Dental only (PAHP)),UnitedHealthcare Dental,Statewide,104666,0,104666,2017,"Rhode Island
(41.572574, -71.534637)",UnitedHealthcare
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),Jackson Care Connect,Jackson County,27834,1136,28970,2017,"Oregon
(43.940449, -120.605279)",Jackson Care Connect
Minnesota,,Prepaid Medical Assistance Plan Plus (PMAP+) (Comprehensive MCO + MLTSS),South Country Health,"Brown, Dodge, Freeborn, Kanabec, Morrison, Sibley, Steele, Todd, Wabasha, Wadena, and Waseca County",32400,0,32400,2017,"Minnesota
(46.349153, -94.198308)",South Country Health Alliance
Michigan,,MI Choice (MLTSS only (PIHP and/or PAHP)),Reliance Community Care Partners,"Allegan, Ionia, Kent, Lake, Mason, Mecosta, Muskegon, Newaygo, Oceana, Osceola, Ottawa",44,592,636,2017,"Michigan
(44.874798, -85.730977)",Reliance Community Care Partners
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),CareOregon Dental,"Clackamas, Multnomah, and Washington Counties",1707,95,1802,2017,"Oregon
(43.940449, -120.605279)",CareOregon
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Blair County HealthChoices,Blair county,25456,3648,29104,2017,"Pennsylvania
(40.896694, -77.838886)",Community Care Behavioral Health Organization
Delaware,,Saint Francis Life (Program of All-inclusive Care for the Elderly (PACE)),Saint Francis Life,New Castle County,8,216,224,2017,"Delaware
(38.994926, -75.452394)",Saint Francis Healthcare
Arkansas,,Non-Emergency Transportation (Non-Emergency Medical Transportation),Net Transportation,Statewide,469463,52789,522252,2017,"Arkansas
(34.899825, -92.439162)",Net Transportation
Rhode Island,,Transportation Broker (Non-Emergency Medical Transportation),LogistiCare,Statewide,272157,36877,309034,2017,"Rhode Island
(41.572574, -71.534637)",LogistiCare
Minnesota,,Special Needs Basic Care (SNBC) (Comprehensive MCO + MLTSS),South Country Health,"Brown, Dodge, Freeborn, Kanabec, Morrison, Sibley, Steele, Todd, Wabasha, Wadena, and Waseca County",922,1862,2784,2017,"Minnesota
(46.349153, -94.198308)",South Country Health Alliance
Michigan,,Managed Care Plan Division (Comprehensive MCO),Molina Healthcare of Michigan,"Alcona, Allegan, Alpena, Antrim, Arenac, Barry, Bay, Benzie, Berrien, Branch, Calhoun, Cass, Charlevoix, Cheboygan, Clare, Clinton, Crawford, Eaton, Emmet, Genesee, Gladwin, Grand Traverse, Gratiot, Hillsdale, Huron, Ingham, Ionia, Iosco, Isabella, Jackson, Kalamazoo, Kalkaska, Kent, Lake, Lapeer, Leelanau, Lenawee, Livingston, Macomb, Manistee, Mason, Mecosta, Midland, Missaukee, Monroe, Montcalm, Montmorency, Muskegon, Newaygo, Oakland, Oceana, Ogemaw, Osceola, Oscoda, Otsego, Ottawa, Presque Isle, Roscommon, Saginaw, St. Clair, St. Joseph, Sanilac, Shiawassee, Tuscola, VanBuren, Washtenaw, Wayne, Wexford.",367127,10126,377253,2017,"Michigan
(44.874798, -85.730977)",Molina Healthcare of Michigan
Massachusetts,,MassHealth Managed Care (Comprehensive MCO),Neighborhood Health Plan,Statewide,257898,0,257898,2017,"Massachusetts
(42.151077, -71.481104)",Partners Healthcare
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Chester County HealthChoices,Chester county,44283,4562,48845,2017,"Pennsylvania
(40.896694, -77.838886)",Community Care Behavioral Health Organization
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),MetroPlus,New York City,561,1040,1601,2017,"New York
(42.921241, -75.59655)",MetroPlus
Utah,,Choice of Health Care Delivery (Comprehensive MCO),Molina Plus,"Duchesne, Uintah, Daggett, Carbon, Emery, Grand, Juab, Millard, Sanpete, Sevier, Piute, Wayne, Beaver, Garfield, San Juan, and Kane counties",1277,71,1348,2017,"Utah
(39.323779, -111.678222)",Molina Healthcare
Michigan,,Healthy Michigan Plan (Comprehensive MCO),Total Health Care,"Macomb, Oakland, Wayne",16187,0,16187,2017,"Michigan
(44.874798, -85.730977)",Total Health Care
Florida,,Program of All-Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),"Morselife Home Care, Inc.",Palm Beach County,311,12,323,2017,"Florida
(28.260731, -82.420978)",Palm Beach PACE
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),Senior Health Partners,"New York City & Nassau, Westchester counties",2029,11811,13840,2017,"New York
(42.921241, -75.59655)",Senior Health Partners
California,,Regional Model (Comprehensive MCO),California Health & Wellness/Mono,Mono County,1005,17,1022,2017,"California
(37.211164, -119.662127)",Centene Corporation
Texas,,STAR (Comprehensive MCO),Parkland Community Health Plan,Dallas SDA,165669,0,165669,2017,"Texas
(31.447238, -99.317341)",Parkland HEALTH First
Minnesota,,Minnesota Senior Care Plus (MSC+) (Comprehensive MCO + MLTSS),Medica,Statewide,686,3312,3998,2017,"Minnesota
(46.349153, -94.198308)",Medica Holding Company
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),Montefiore HMO,New York City &  Westchester County,128,1234,1362,2017,"New York
(42.921241, -75.59655)",Montefiore HMO
New York,,Medicaid Advantage Plus (Comprehensive MCO + MLTSS),VNS Choice Plus,"New York City & Nassau, Suffolk, Westchester counties",5,1472,1477,2017,"New York
(42.921241, -75.59655)",VNS Choice Plus
Colorado,,Colorado Medicaid Community Behavioral Health Services Program (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Colorado Health Partnerships,"Alamosa, Archuleta, Baca, Bent, Chaffee, Conejos, Costilla, Crowley, Custer, Delta, Dolores, Eagle, El Paso, Fremont, Garfield, Grand, Gunnison, Hinsdale, Huerfano, Jackson, Kiowa, Lake, La Plata, Las Animas, Mesa, Mineral, Moffat, Montezuma, Montrose, Ouray, Otero, Park, Pitkin, Prowers, Pueblo, Rio Blanco, Rio Grande, Routt, Saguache, San Juan, San Miguel, Summit and Teller Counties",440253,29756,470009,2017,"Colorado
(38.998552, -105.547832)",Colorado Health Partnerships
Kansas,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Midland Care,"Douglas, Jackson, Jefferson, Leavenworth, Lyon, Marshall, Nemaha, Osage, Shawnee, Pottawatomie, Wabaunsee and Wyandotte counties",249,0,249,2017,"Kansas
(38.484729, -98.38018)",Midland Care
Missouri,,MO Healthnet Managed Care/1915b (Comprehensive MCO),Missouri Care Western,"Bates, Cass, Cedar, Clay, Henry, Jackson, Johnson, Lafayette, Platte, Polk, Ray, St Clair, and Vernon",75801,0,75801,2017,"Missouri
(38.3675, -92.477244)",WellCare Health Plans
Nebraska,,Dental Benefit Manager (Dental only (PAHP)),MCNA Nebraska,Statewide,0,0,0,2017,"Nebraska
(41.527099, -99.810595)",MCNA Insurance Company
Utah,,Prepaid Mental Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Northeastern Counseling,"Duchesne, Uintah, Daggett, and San Juan counties",9881,874,10755,2017,"Utah
(39.323779, -111.678222)",Northeastern Counseling
California,,Two-Plan Model (Comprehensive MCO + MLTSS),CalViva Health/Kings,Kings County,26225,886,27111,2017,"California
(37.211164, -119.662127)",CalViva Health
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Northampton county HealthChoices,Northampton county,44279,5304,49583,2017,"Pennsylvania
(40.896694, -77.838886)",Magellan Health
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),York-Adams Joinder Board,York county,82293,8031,90324,2017,"Pennsylvania
(40.896694, -77.838886)",Community Care Behavioral Health Organization
California,,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Kaiser/San Diego,San Diego County,46438,6473,52911,2017,"California
(37.211164, -119.662127)",Kaiser Permanente
Massachusetts,,Senior Care Options (Comprehensive MCO + MLTSS),Commonwealth Care Alliance,"01330, 01337, 01338, 01339, 01340, 01341, 01342, 01344, 01354, 01301, 01302, 01039, 01346, 01347, 01054, 01349, 01350, 01351, 01360, 01367, 01369, 01370, 01072, 01373, 01375, 01376, 01379, 01380, 01093, 02322, 02157, 02457, 02184, 02185, 02146, 02445, 02446, 02147, 02447, 02021, 02467, 02025, 02026, 02027, 02030, 02032, 02035, 02343, 02052, 02053, 02054, 02186, 02187, 02192, 02194, 02492, 02494, 02056, 02171, 02062, 02762, 02169, 02170, 02171, 02269, 02368, 02067, 02070, 02071, 02072, 02081, 02181, 02481, 02482, 02090, 02188, 02189, 02190, 02191, 02170, 02093, 02351, 02020, 02324, 02301, 02302, 02303, 02304, 02305, 02327, 02330, 02332, 02333, 02338, 02339, 02341, 02018, 02043, 02044, 02045, 02364, 02050, 02065, 02346, 02061, 02355, 02059, 02358, 02558, 02359, 02360, 02362, 02367, 02770, 02370, 02040, 02055, 02060, 02066, 02379, 02382",545,8049,8594,2017,"Massachusetts
(42.151077, -71.481104)",Commonwealth Care Alliance
Massachusetts,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Elder Service Plan of Cambridge Health Alliance,"02108, 02148, 02149, 02150, 02153, 02129, 02134, 02135, 02138, 02143, 02471, 02474, 02151, 02452,  02478, 02479",35,364,399,2017,"Massachusetts
(42.151077, -71.481104)",Elder Services Plan of Cambridge Health Alliance
California,,Regional Model (Comprehensive MCO),California Health & Wellness/Nevada,Nevada County,7660,269,7929,2017,"California
(37.211164, -119.662127)",Centene Corporation
Michigan,Michigan is not able to provide dual-eligible enrollment for the Specialty Prepaid Inpatient Health plan.,Specialty Prepaid Inpatient Health Plan (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Southwest Michigan Behavioral Health,"Barry, Berrien, Branch, Calhoun, Cass, Kalamazoo, St. Joseph, Van Buren",194658,0,194658,2017,"Michigan
(44.874798, -85.730977)",Southwest Michigan Behavioral Health
Colorado,,Accountable Care Collaborative: Rocky Mountain Health Plans Prime (Comprehensive MCO),Accountable Care Collaborative: Rocky Mountain Health Plans Prime (ACC: RMHP),"Garfield, Gunnison, Mesa, Montrose, Pitkin, and Rio Blanco Counties",35576,3937,39513,2017,"Colorado
(38.998552, -105.547832)",Accountable Care Collaborative: Rocky Mountain Health Plans Prime (ACC: RMHP)
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),Integra,"New York City & Nassau, Suffolk, Westchester counties",809,5721,6530,2017,"New York
(42.921241, -75.59655)",Integra
Georgia,,Planning for Healthy Babies (Other Prepaid Health Plan (PHP) (limited benefits)),CareSource Georgia,Statewide,26,0,26,2017,"Georgia
(32.638481, -83.426574)",CareSource
New York,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Independent Living for Seniors,"Monroe, Ontario, Wayne counties",30,649,679,2017,"New York
(42.921241, -75.59655)",Independent Living for Seniors
District of Columbia,,Non-Emergency Medical Transportation Program (Non-Emergency Medical Transportation),"Medical Transportation Management, Inc.",Statewide,53467,20929,74396,2017,"District of Columbia
(38.904785, -77.016275)","Medical Transportation Management, Inc."
Washington,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.","Apple Health (Program includes, AHAC, CHIP,HOFC, HO) (Comprehensive MCO)",Amerigroup,"Adams, Asotin, Benton, Chelan, Columbia, Cowlitz, Douglas, Ferry, Franklin, Garfield, Grant, Grays Harbor, Island, Jefferson, King, Kitsap, Kittitas, Klickitat, Lewis, Lincoln, Mason, Okanogan, Pacific, Pend Oreille, Pierce, San Juan, Skagit, Snohomish, Spokane, Stevens, Thurston, Wahkiakum, Walla Walla, Whatcom, Whitman, Yakima.",136546,0,136546,2017,"Washington
(47.411715, -120.592492)",Amerigroup
Louisiana,,Dental Program (Dental only (PAHP)),MCNA,Statewide,1386232,102899,1489131,2017,"Louisiana
(30.921314, -91.840238)",MCNA
Ohio,,MyCare Ohio Opt-out (Comprehensive MCO + MLTSS),United Healthcare Community Plan of Ohio,"East Central, Northeast, Northeast Central Regions",0,9519,9519,2017,"Ohio
(40.415534, -82.70936)",United Healthcare Community
California,,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Health Net/Sacramento,Sacramento County,111026,5565,116591,2017,"California
(37.211164, -119.662127)",Centene Corporation
Michigan,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Great Lakes PACE,"Arenac, Bay, Gratiot, Midland, Saginaw, Shiawassee, Tuscola",10,86,96,2017,"Michigan
(44.874798, -85.730977)",A & D Charitable Foundation
Wisconsin,,Wisconsin Partnership Program (Comprehensive MCO + MLTSS),Independent Care Health Plan – iCare,"Counties: Dane, Kenosha, Milwaukee, Racine",226,632,858,2017,"Wisconsin
(44.639954, -89.732969)",Independent Care Health Plan – iCare
Texas,,Texas Medicaid Wellness Program (Primary Care Case Management (PCCM)),Multiple Primary Care Providers,Statewide,8573,0,8573,2017,"Texas
(31.447238, -99.317341)",Multiple Primary Care Providers
California,,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Anthem Blue Cross Partnership Plan/Sacramento,Sacramento County,175650,7083,182733,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Maryland,,HealthChoice (Comprehensive MCO),University of Maryland Health Partners,"Statewide except for Allegany, Garrett and Washington counties",40746,0,40746,2017,"Maryland
(38.946466, -76.687282)",University of Maryland Medical Systems
Pennsylvania,,PA Living Independence for the Elderly (LIFE) (Program of All-inclusive Care for the Elderly (PACE)),Albright LIFE H-9068,"Lancaster, Lebanon, Clinton, Lycoming counties and part of Chester County",12,190,202,2017,"Pennsylvania
(40.896694, -77.838886)",Albright Care services
Arizona,,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),DCS/CMDP,Statewide,15800,0,15800,2017,"Arizona
(34.293239, -111.664616)",Government Agency/Non-Profit Entity
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),ElderServe,"New York City & Nassau, Suffolk, Westchester counties",963,10260,11223,2017,"New York
(42.921241, -75.59655)",ElderServe
California,,County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS),Central California Alliance for Health/Santa Cruz,Santa Cruz County,61650,7818,69468,2017,"California
(37.211164, -119.662127)",Central California Alliance for Health
New Jersey,,NJ FamilyCare (Comprehensive MCO + MLTSS),WellCare Liberty D-SNP,"Bergen, Essex, Hudson, Middlesex, Morris, Passaic, Somerset, and Union counties",0,1359,1359,2017,"New Jersey
(40.110253, -74.655514)",WellCare
Minnesota,,Special Needs Basic Care (SNBC) (Comprehensive MCO + MLTSS),UCare,Statewide,12654,13786,26440,2017,"Minnesota
(46.349153, -94.198308)",UCare of Minnesota
Texas,,STAR Kids (Comprehensive MCO + MLTSS),Amerigroup,"Dallas SDA, El Paso SDA, Harris SDA, MRSA West, Lubbock SDA",27735,0,27735,2017,"Texas
(31.447238, -99.317341)","Amerigroup Texas, Inc"
New York,,PACE (Program of All-inclusive Care for the Elderly (PACE)),ArchCare Senior Life,New York City,73,522,595,2017,"New York
(42.921241, -75.59655)",ArchCare Senior Life
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Erie County HealthChoices,Erie county,62035,7368,69403,2017,"Pennsylvania
(40.896694, -77.838886)",Community Care Behavioral Health Organization
Wisconsin,,BadgerCare Plus (Comprehensive MCO),Anthem Blue Cross Blue Shield,"Counties: Brown, Calumet, Dane, Dodge, Door, Florence, Fond du Lac, Forest, Green Lake, Jefferson, Kenosha, Kewaunee, Langlade, Manitowoc, Marinette, Marquette, Menominee, Milwaukee, Oconto, Outagamie, Ozaukee, Polk, Portage, Racine, Rock, Shawano, Sheboygan, Taylor, Walworth,  Washington, Waukesha, Waupaca, Waushara, Winnebago, Wood",66330,104,66434,2017,"Wisconsin
(44.639954, -89.732969)",Anthem Blue Cross Blue Shield
New Jersey,,Non-Emergency Medical Transportation (Non-Emergency Medical Transportation),Logisticare,Statewide,1382433,173270,1555703,2017,"New Jersey
(40.110253, -74.655514)",Providence Service Corp.
Colorado,,Accountable Care Collaborative (Primary Care Case Management Entity (PCCM Entity)),RCCO 2: Colorado Access,"Cheyenne, Kit Carson, Lincoln, Logan, Morgan, Phillips, Sedgwick, Washington, Weld and Yuma Counties",77160,4824,81984,2017,"Colorado
(38.998552, -105.547832)",Colorado Access
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),Prime Health Choice,"Albany, Dutchess, Orange, Putnam, Rockland, Warren, Washington counties",21,261,282,2017,"New York
(42.921241, -75.59655)",Prime Health Choice
Missouri,,MO Healthnet Managed Care/1915b (Comprehensive MCO),Missouri Care Central,"Adair, Andrew, Atchison, Audrain, Benton, Bollinger, Boone, Buchanan, Butler, Caldwell, Callaway, Camden, Cape Girardeau, Carroll, Carter, Chariton, Clark, Clinton, Cole, Cooper, Crawford, Daviess, DeKalb, Dent, Dunklin, Gasconade, Gentry, Grundy, Harrison, Holt, Howard, Iron, Knox, Laclede, Lewis, Linn, Livingston, Macon, Maries, Marion, Mercer, Miller, Mississippi, Moniteau, Monroe, Montgomery, Morgan, New Madrid, Nodaway, Osage, Pettis, Phelps, Pulaski, Putman, Ralls, Randolph, Reynolds, Ripley, Saline, Schuyler, Scotland, Scott, Shelby, Stoddard, Sullivan, Wayne, and Worth",84056,0,84056,2017,"Missouri
(38.3675, -92.477244)",WellCare Health Plans
Kansas,,KanCare (Comprehensive MCO + MLTSS),"Amerigroup Kansas, Inc.",Statewide,114841,12369,127210,2017,"Kansas
(38.484729, -98.38018)",Anthem
Arizona,,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Care1st Health Plan,Maricopa & Pima County,144994,7792,152786,2017,"Arizona
(34.293239, -111.664616)",WellCare Health Plan
Wisconsin,,Family Care (MLTSS only (PIHP and/or PAHP)),Care Wisconsin (FC),"Counties: Brown, Buffalo, Chippewa, Clark, Columbia, Crawford, Dodge, Door, Dunn, Eau Claire, Grant, Green, Green Lake, Iowa, Jackson, Jefferson, Juneau, Kewaunee, La Crosse, Lafayette, Marinette, Marquette, Menominee, Monroe, Oconto, Ozaukee, Pepin, Pierce, Richland, St. Croix, Sauk, Shawano, Sheboygan, Taylor, Trempealeau, Vernon, Walworth, Washington, Waukesha, Waushara",1102,5872,6974,2017,"Wisconsin
(44.639954, -89.732969)",Care Wisconsin (FC)
Michigan,,Healthy Michigan Plan (Comprehensive MCO),Blue Cross Complete of Michigan,"Allegan, Barry, Clinton, Eaton, Genesee, Hillsdale, Huron, Ingham, Ionia, Jackson, Kent, Lake, Lapeer, Lenawee, Livingston, Macomb, Mason, Mecosta, Monroe, Montcalm, Muskegon, Newaygo, Oakland, Oceana, Osceola, Ottawa, St. Clair, Sanilac, Shiawassee, Tuscola, Washtenaw, Wayne",81468,0,81468,2017,"Michigan
(44.874798, -85.730977)",Blue Cross Complete of Michigan
West Virginia,,Mountain Health Trust (Comprehensive MCO),Aetna Better Health of WV (formerly CoventryCares),statewide,127795,0,127795,2017,"West Virginia
(38.642579, -80.613729)",Aetna
Delaware,,Diamond State Health Plan (Comprehensive MCO + MLTSS),Highmark Health Options of Delaware,Statewide,115158,1996,117154,2017,"Delaware
(38.994926, -75.452394)",Highmark
California,,Two-Plan Model (Comprehensive MCO + MLTSS),Molina Healthcare/San Bernardino,San Bernardino County,70069,8084,78153,2017,"California
(37.211164, -119.662127)",Molina Healthcare
Illinois,,Integrated Care Program (Comprehensive MCO + MLTSS),Meridian Health Plan,"Lake, Cook, DuPage, Kane, Will, Kankakee, Knox, Stark, Peoria, Tazewell, Madison, St. Clair and Clinton counties",13701,0,13701,2017,"Illinois
(40.124144, -89.148632)",Meridian
California,,Two-Plan Model (Comprehensive MCO + MLTSS),Anthem Blue Cross Partnership Plan/San Francisco,San Francisco County,17898,2435,20333,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
District of Columbia,,Medicaid Managed Care Program (Comprehensive MCO),Trusted Health Plan,Statewide,33420,0,33420,2017,"District of Columbia
(38.904785, -77.016275)",Trusted Health Plan
Minnesota,,Prepaid Medical Assistance Plan Plus (PMAP+) (Comprehensive MCO + MLTSS),UCare,Statewide,186201,0,186201,2017,"Minnesota
(46.349153, -94.198308)",UCare of Minnesota
Georgia,,Georgia Families (Comprehensive MCO),Amerigroup Community Plan,Statewide,263832,0,263832,2017,"Georgia
(32.638481, -83.426574)",Amerigroup (An Anthem Company)
Missouri,,MO Healthnet Managed Care/1915b (Comprehensive MCO),Home State Health Eastern,"Franklin, Jefferson, Lincoln, Madison, Perry, Pike, St Charles, St Francois, Ste Genevieve, St Louis Co, Warren, Washington, and St Louis City",109524,0,109524,2017,"Missouri
(38.3675, -92.477244)",Centene
Tennessee,"Beneficiaries can simultaneously enroll in (1) Magellan Health services, (2) DentaQuest USA Insurance Company, and (3) another comprehensive MCO. The de-duplicated total enrollment in comprehensive MCOs is 1,409,266.",TennCare II (Comprehensive MCO + MLTSS),DentaQuest,Statewide,820883,329,821212,2017,"Tennessee
(35.842998, -86.343226)",DentaQuest USA Insurance Company
